CrimeType,Annual Crime Rate Change_Per Capita,Year
Offence Against a Person,-3.33%,2017
Offence Against a Person,-1.94%,2018
Offence Against a Person,1.86%,2019
Offence Against a Person,5.03%,2020
Offence Against a Person,-0.43%,2021
Offence Against a Person,0.02%,2022
Offence Against a Person,-13.57%,2023
Other Theft,0.00%,2003
Other Theft,-1.16%,2004
Other Theft,-1.94%,2005
Other Theft,-10.50%,2006
Other Theft,-7.27%,2007
Other Theft,-4.40%,2008
Other Theft,-1.70%,2009
Other Theft,-2.84%,2010
Other Theft,-1.45%,2011
Other Theft,4.75%,2012
Other Theft,1.77%,2013
Other Theft,3.85%,2014
Other Theft,-3.04%,2015
Other Theft,11.62%,2016
Other Theft,-2.67%,2017
Other Theft,-5.90%,2018
Other Theft,8.44%,2019
Other Theft,-30.51%,2020
Other Theft,-1.70%,2021
Other Theft,24.06%,2022
Other Theft,0.04%,2023
Theft from Vehicle,0.00%,2003
Theft from Vehicle,1.30%,2004
Theft from Vehicle,-10.20%,2005
Theft from Vehicle,-12.18%,2006
Theft from Vehicle,-18.46%,2007
Theft from Vehicle,-9.26%,2008
Theft from Vehicle,-12.96%,2009
Theft from Vehicle,-15.45%,2010
Theft from Vehicle,-15.16%,2011
Theft from Vehicle,7.54%,2012
Theft from Vehicle,1.64%,2013
Theft from Vehicle,20.16%,2014
Theft from Vehicle,2.70%,2015
Theft from Vehicle,19.99%,2016
Theft from Vehicle,-0.15%,2017
Theft from Vehicle,14.29%,2018
Theft from Vehicle,12.29%,2019
Theft from Vehicle,-39.27%,2020
Theft from Vehicle,-28.78%,2021
Theft from Vehicle,-3.93%,2022
Theft from Vehicle,-12.43%,2023
Theft of Bicycle,0.00%,2003
Theft of Bicycle,-14.41%,2004
Theft of Bicycle,13.68%,2005
Theft of Bicycle,2.23%,2006
Theft of Bicycle,-19.45%,2007
Theft of Bicycle,-3.97%,2008
Theft of Bicycle,37.08%,2009
Theft of Bicycle,-0.09%,2010
Theft of Bicycle,-10.65%,2011
Theft of Bicycle,18.28%,2012
Theft of Bicycle,10.44%,2013
Theft of Bicycle,19.60%,2014
Theft of Bicycle,22.95%,2015
Theft of Bicycle,-15.01%,2016
Theft of Bicycle,-17.54%,2017
Theft of Bicycle,-2.82%,2018
Theft of Bicycle,1.48%,2019
Theft of Bicycle,-11.41%,2020
Theft of Bicycle,-27.23%,2021
Theft of Bicycle,3.65%,2022
Theft of Bicycle,-36.54%,2023
Theft of Vehicle,0.00%,2003
Theft of Vehicle,-5.29%,2004
Theft of Vehicle,-18.59%,2005
Theft of Vehicle,-27.77%,2006
Theft of Vehicle,-11.83%,2007
Theft of Vehicle,-28.14%,2008
Theft of Vehicle,-23.59%,2009
Theft of Vehicle,-23.45%,2010
Theft of Vehicle,-26.59%,2011
Theft of Vehicle,3.98%,2012
Theft of Vehicle,-11.45%,2013
Theft of Vehicle,23.41%,2014
Theft of Vehicle,4.87%,2015
Theft of Vehicle,6.46%,2016
Theft of Vehicle,-0.05%,2017
Theft of Vehicle,-24.42%,2018
Theft of Vehicle,19.17%,2019
Theft of Vehicle,-38.70%,2020
Theft of Vehicle,-2.59%,2021
Theft of Vehicle,7.42%,2022
Theft of Vehicle,-28.38%,2023
Vehicle Collision or Pedestrian Struck (with Fatality),0.00%,2003
Vehicle Collision or Pedestrian Struck (with Fatality),-13.11%,2004
Vehicle Collision or Pedestrian Struck (with Fatality),43.63%,2005
Vehicle Collision or Pedestrian Struck (with Fatality),-38.33%,2006
Vehicle Collision or Pedestrian Struck (with Fatality),17.88%,2007
Vehicle Collision or Pedestrian Struck (with Fatality),-30.42%,2008
Vehicle Collision or Pedestrian Struck (with Fatality),-19.10%,2009
Vehicle Collision or Pedestrian Struck (with Fatality),-29.83%,2010
Vehicle Collision or Pedestrian Struck (with Fatality),17.97%,2011
Vehicle Collision or Pedestrian Struck (with Fatality),48.12%,2012
Vehicle Collision or Pedestrian Struck (with Fatality),-17.71%,2013
Vehicle Collision or Pedestrian Struck (with Fatality),-7.83%,2014
Vehicle Collision or Pedestrian Struck (with Fatality),-1.25%,2015
Vehicle Collision or Pedestrian Struck (with Fatality),5.80%,2016
Vehicle Collision or Pedestrian Struck (with Fatality),-7.83%,2017
Vehicle Collision or Pedestrian Struck (with Fatality),-8.30%,2018
Vehicle Collision or Pedestrian Struck (with Fatality),6.63%,2019
Vehicle Collision or Pedestrian Struck (with Fatality),-43.41%,2020
Vehicle Collision or Pedestrian Struck (with Fatality),172.33%,2021
Vehicle Collision or Pedestrian Struck (with Fatality),-14.47%,2022
Vehicle Collision or Pedestrian Struck (with Fatality),-21.81%,2023
Vehicle Collision or Pedestrian Struck (with Injury),0.00%,2003
Vehicle Collision or Pedestrian Struck (with Injury),1.13%,2004
Vehicle Collision or Pedestrian Struck (with Injury),5.67%,2005
Vehicle Collision or Pedestrian Struck (with Injury),-31.73%,2006
Vehicle Collision or Pedestrian Struck (with Injury),-12.07%,2007
Vehicle Collision or Pedestrian Struck (with Injury),-5.98%,2008
Vehicle Collision or Pedestrian Struck (with Injury),5.94%,2009
Vehicle Collision or Pedestrian Struck (with Injury),2.00%,2010
Vehicle Collision or Pedestrian Struck (with Injury),-6.66%,2011
Vehicle Collision or Pedestrian Struck (with Injury),15.36%,2012
Vehicle Collision or Pedestrian Struck (with Injury),0.09%,2013
Vehicle Collision or Pedestrian Struck (with Injury),4.31%,2014
Vehicle Collision or Pedestrian Struck (with Injury),4.45%,2015
Vehicle Collision or Pedestrian Struck (with Injury),1.12%,2016
Vehicle Collision or Pedestrian Struck (with Injury),-11.90%,2017
Vehicle Collision or Pedestrian Struck (with Injury),-4.30%,2018
Vehicle Collision or Pedestrian Struck (with Injury),-23.73%,2019
Vehicle Collision or Pedestrian Struck (with Injury),-25.88%,2020
Vehicle Collision or Pedestrian Struck (with Injury),18.58%,2021
Vehicle Collision or Pedestrian Struck (with Injury),-1.84%,2022
Vehicle Collision or Pedestrian Struck (with Injury),-8.80%,2023
