CONSUMER   PRICE   INDEX   (2002 = 100)   -   ANNUAL,,,,,,,,,,,,,,"v41693271,v41694760,v41695228,v41695234"
,,,,,,,,,,,,,,
,,CANADA,,,BRITISH COLUMBIA,,,VANCOUVER,,,VICTORIA,,,
2013,,122.8,0.9,,117.7,-0.1,,119.2,0.2,,116.3,-0.3,,
2014,,125.2,2,,118.9,1,,120.5,1.1,,117.3,0.9,,
2015,,126.6,1.1,,120.2,1.1,,121.9,1.2,,118.6,1.1,,
2016,,128.4,1.4,,122.4,1.8,,124.6,2.2,,120.7,1.8,,
2017,,130.4,1.6,,125,2.1,,127.3,2.2,,123,1.9,,
2018,,133.4,2.3,,128.4,2.7,,131,2.9,,125.9,2.4,,
2019,,136,1.9,,131.4,2.3,,134.1,2.4,,129,2.5,,
2020,,137,0.7,,132.4,0.8,,134.9,0.6,,130.4,1.1,,
2021,,141.6,3.4,,136.1,2.8,,138.5,2.7,,133.6,2.5,,
2022,,151.2,6.8,,145.5,6.9,,147.8,6.8,,142.9,7,,
,,,,,,,,,,,,,,
"Source: Statistics Canada, Table 18-10-0005-01. Reproduced and distributed on an ""as is"" basis with the permission of Statistics Canada.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,"Produced by: BC Stats, January 2023",,
